"ts_utc","Global.Irradians..svenska.stationer.","Solskenstid"
2021-01-01,0,0
2021-01-01 01:00:00,0,0
2021-01-01 02:00:00,0,0
2021-01-01 03:00:00,0,0
2021-01-01 04:00:00,0,0
2021-01-01 05:00:00,0,0
2021-01-01 06:00:00,0,0
2021-01-01 07:00:00,0.02,0
2021-01-01 08:00:00,1.27,0
2021-01-01 09:00:00,11.79,0
2021-01-01 10:00:00,34.31,0
2021-01-01 11:00:00,49.29,0
2021-01-01 12:00:00,45.01,0
2021-01-01 13:00:00,42.19,0
2021-01-01 14:00:00,22.16,0
2021-01-01 15:00:00,5.46,0
2021-01-01 16:00:00,0.11,0
2021-01-01 17:00:00,0,0
2021-01-01 18:00:00,0,0
2021-01-01 19:00:00,0,0
2021-01-01 20:00:00,0,0
2021-01-01 21:00:00,0,0
2021-01-01 22:00:00,0,0
2021-01-01 23:00:00,0,0
2021-01-02,0,0
2021-01-02 01:00:00,0,0
2021-01-02 02:00:00,0,0
2021-01-02 03:00:00,0,0
2021-01-02 04:00:00,0,0
2021-01-02 05:00:00,0,0
2021-01-02 06:00:00,0,0
2021-01-02 07:00:00,0.15,0
2021-01-02 08:00:00,1.65,0
2021-01-02 09:00:00,11.4,0
2021-01-02 10:00:00,37.06,0
2021-01-02 11:00:00,52.7,0
2021-01-02 12:00:00,44.17,0
2021-01-02 13:00:00,39.19,0
2021-01-02 14:00:00,23.66,0
2021-01-02 15:00:00,6.25,0
2021-01-02 16:00:00,0.32,0
2021-01-02 17:00:00,0,0
2021-01-02 18:00:00,0,0
2021-01-02 19:00:00,0,0
2021-01-02 20:00:00,0,0
2021-01-02 21:00:00,0,0
2021-01-02 22:00:00,0,0
2021-01-02 23:00:00,0,0
2021-01-03,0,0
2021-01-03 01:00:00,0,0
2021-01-03 02:00:00,0,0
2021-01-03 03:00:00,0,0
2021-01-03 04:00:00,0,0
2021-01-03 05:00:00,0,0
2021-01-03 06:00:00,0,0
2021-01-03 07:00:00,0.14,0
2021-01-03 08:00:00,1.7,0
2021-01-03 09:00:00,24.88,352
2021-01-03 10:00:00,49.43,0
2021-01-03 11:00:00,63.24,175
2021-01-03 12:00:00,93.6,1689
2021-01-03 13:00:00,113.1,2298
2021-01-03 14:00:00,61.04,2157
2021-01-03 15:00:00,13.72,802
2021-01-03 16:00:00,0,0
2021-01-03 17:00:00,0,0
2021-01-03 18:00:00,0,0
2021-01-03 19:00:00,0,0
2021-01-03 20:00:00,0,0
2021-01-03 21:00:00,0,0
2021-01-03 22:00:00,0,0
2021-01-03 23:00:00,0,0
2021-01-04,0,0
2021-01-04 01:00:00,0,0
2021-01-04 02:00:00,0,0
2021-01-04 03:00:00,0,0
2021-01-04 04:00:00,0,0
2021-01-04 05:00:00,0,0
2021-01-04 06:00:00,0,0
2021-01-04 07:00:00,0.13,0
2021-01-04 08:00:00,4.14,0
2021-01-04 09:00:00,33.94,1141
2021-01-04 10:00:00,66.65,3256
2021-01-04 11:00:00,98.73,2649
2021-01-04 12:00:00,152.66,3388
2021-01-04 13:00:00,94.23,2597
2021-01-04 14:00:00,35.63,0
2021-01-04 15:00:00,11.84,0
2021-01-04 16:00:00,0.76,0
2021-01-04 17:00:00,0,0
2021-01-04 18:00:00,0,0
2021-01-04 19:00:00,0,0
2021-01-04 20:00:00,0,0
2021-01-04 21:00:00,0,0
2021-01-04 22:00:00,0,0
2021-01-04 23:00:00,0,0
2021-01-05,0,0
2021-01-05 01:00:00,0,0
2021-01-05 02:00:00,0,0
2021-01-05 03:00:00,0,0
2021-01-05 04:00:00,0,0
2021-01-05 05:00:00,0,0
2021-01-05 06:00:00,0,0
2021-01-05 07:00:00,0,0
2021-01-05 08:00:00,3.92,0
2021-01-05 09:00:00,47.67,2586
2021-01-05 10:00:00,48.67,368
2021-01-05 11:00:00,53.3,0
2021-01-05 12:00:00,47.89,0
2021-01-05 13:00:00,39.24,0
2021-01-05 14:00:00,34.72,0
2021-01-05 15:00:00,9.72,0
2021-01-05 16:00:00,0.35,0
2021-01-05 17:00:00,0,0
2021-01-05 18:00:00,0,0
2021-01-05 19:00:00,0,0
2021-01-05 20:00:00,0,0
2021-01-05 21:00:00,0,0
2021-01-05 22:00:00,0,0
2021-01-05 23:00:00,0,0
2021-01-06,0,0
2021-01-06 01:00:00,0,0
2021-01-06 02:00:00,0,0
2021-01-06 03:00:00,0,0
2021-01-06 04:00:00,0,0
2021-01-06 05:00:00,0,0
2021-01-06 06:00:00,0,0
2021-01-06 07:00:00,0.15,0
2021-01-06 08:00:00,2.51,0
2021-01-06 09:00:00,13.55,0
2021-01-06 10:00:00,19.33,0
2021-01-06 11:00:00,35.74,0
2021-01-06 12:00:00,32.46,0
2021-01-06 13:00:00,22.55,0
2021-01-06 14:00:00,16.61,0
2021-01-06 15:00:00,6.96,0
2021-01-06 16:00:00,0.19,0
2021-01-06 17:00:00,0,0
2021-01-06 18:00:00,0,0
2021-01-06 19:00:00,0,0
2021-01-06 20:00:00,0,0
2021-01-06 21:00:00,0,0
2021-01-06 22:00:00,0,0
2021-01-06 23:00:00,0,0
2021-01-07,0,0
2021-01-07 01:00:00,0,0
2021-01-07 02:00:00,0,0
2021-01-07 03:00:00,0,0
2021-01-07 04:00:00,0,0
2021-01-07 05:00:00,0,0
2021-01-07 06:00:00,0,0
2021-01-07 07:00:00,0,0
2021-01-07 08:00:00,3.31,0
2021-01-07 09:00:00,22.72,0
2021-01-07 10:00:00,55.14,0
2021-01-07 11:00:00,72.7,0
2021-01-07 12:00:00,81.38,0
2021-01-07 13:00:00,45.3,0
2021-01-07 14:00:00,27.31,0
2021-01-07 15:00:00,8.79,0
2021-01-07 16:00:00,0.65,0
2021-01-07 17:00:00,0,0
2021-01-07 18:00:00,0,0
2021-01-07 19:00:00,0,0
2021-01-07 20:00:00,0,0
2021-01-07 21:00:00,0,0
2021-01-07 22:00:00,0,0
2021-01-07 23:00:00,0,0
2021-01-08,0,0
2021-01-08 01:00:00,0,0
2021-01-08 02:00:00,0,0
2021-01-08 03:00:00,0,0
2021-01-08 04:00:00,0,0
2021-01-08 05:00:00,0,0
2021-01-08 06:00:00,0,0
2021-01-08 07:00:00,0.04,0
2021-01-08 08:00:00,4.15,0
2021-01-08 09:00:00,41.36,0
2021-01-08 10:00:00,79.34,0
2021-01-08 11:00:00,75.8,0
2021-01-08 12:00:00,51.65,0
2021-01-08 13:00:00,66.61,0
2021-01-08 14:00:00,40.14,0
2021-01-08 15:00:00,6.68,0
2021-01-08 16:00:00,0.34,0
2021-01-08 17:00:00,0,0
2021-01-08 18:00:00,0,0
2021-01-08 19:00:00,0,0
2021-01-08 20:00:00,0,0
2021-01-08 21:00:00,0,0
2021-01-08 22:00:00,0,0
2021-01-08 23:00:00,0,0
2021-01-09,0,0
2021-01-09 01:00:00,0,0
2021-01-09 02:00:00,0,0
2021-01-09 03:00:00,0,0
2021-01-09 04:00:00,0,0
2021-01-09 05:00:00,0,0
2021-01-09 06:00:00,0,0
2021-01-09 07:00:00,0,0
2021-01-09 08:00:00,3.69,0
2021-01-09 09:00:00,51.07,1567
2021-01-09 10:00:00,120.3,3600
2021-01-09 11:00:00,158.21,3600
2021-01-09 12:00:00,166.92,3600
2021-01-09 13:00:00,98.15,1564
2021-01-09 14:00:00,32.89,0
2021-01-09 15:00:00,11.03,0
2021-01-09 16:00:00,0.42,0
2021-01-09 17:00:00,0,0
2021-01-09 18:00:00,0,0
2021-01-09 19:00:00,0,0
