Datum;Tid (UTC);Global Irradians (svenska stationer);Kvalitet;Solskenstid;Kvalitet
2021-01-01;00:00:00;0.00;G;0;G
2021-01-01;01:00:00;0.00;G;0;G
2021-01-01;02:00:00;0.00;G;0;G
2021-01-01;03:00:00;0.00;G;0;G
2021-01-01;04:00:00;0.00;G;0;G
2021-01-01;05:00:00;0.00;G;0;G
2021-01-01;06:00:00;0.00;G;0;G
2021-01-01;07:00:00;0.02;G;0;G
2021-01-01;08:00:00;1.27;G;0;G
2021-01-01;09:00:00;11.79;G;0;G
2021-01-01;10:00:00;34.31;G;0;G
2021-01-01;11:00:00;49.29;G;0;G
2021-01-01;12:00:00;45.01;G;0;G
2021-01-01;13:00:00;42.19;G;0;G
2021-01-01;14:00:00;22.16;G;0;G
2021-01-01;15:00:00;5.46;G;0;G
2021-01-01;16:00:00;0.11;G;0;G
2021-01-01;17:00:00;0.00;G;0;G
2021-01-01;18:00:00;0.00;G;0;G
2021-01-01;19:00:00;0.00;G;0;G
2021-01-01;20:00:00;0.00;G;0;G
2021-01-01;21:00:00;0.00;G;0;G
2021-01-01;22:00:00;0.00;G;0;G
2021-01-01;23:00:00;0.00;G;0;G
2021-01-02;00:00:00;0.00;G;0;G
2021-01-02;01:00:00;0.00;G;0;G
2021-01-02;02:00:00;0.00;G;0;G
2021-01-02;03:00:00;0.00;G;0;G
2021-01-02;04:00:00;0.00;G;0;G
2021-01-02;05:00:00;0.00;G;0;G
2021-01-02;06:00:00;0.00;G;0;G
2021-01-02;07:00:00;0.15;G;0;G
2021-01-02;08:00:00;1.65;G;0;G
2021-01-02;09:00:00;11.40;G;0;G
2021-01-02;10:00:00;37.06;G;0;G
2021-01-02;11:00:00;52.70;G;0;G
2021-01-02;12:00:00;44.17;G;0;G
2021-01-02;13:00:00;39.19;G;0;G
2021-01-02;14:00:00;23.66;G;0;G
2021-01-02;15:00:00;6.25;G;0;G
2021-01-02;16:00:00;0.32;G;0;G
2021-01-02;17:00:00;0.00;G;0;G
2021-01-02;18:00:00;0.00;G;0;G
2021-01-02;19:00:00;0.00;G;0;G
2021-01-02;20:00:00;0.00;G;0;G
2021-01-02;21:00:00;0.00;G;0;G
2021-01-02;22:00:00;0.00;G;0;G
2021-01-02;23:00:00;0.00;G;0;G
2021-01-03;00:00:00;0.00;G;0;G
2021-01-03;01:00:00;0.00;G;0;G
2021-01-03;02:00:00;0.00;G;0;G
2021-01-03;03:00:00;0.00;G;0;G
2021-01-03;04:00:00;0.00;G;0;G
2021-01-03;05:00:00;0.00;G;0;G
2021-01-03;06:00:00;0.00;G;0;G
2021-01-03;07:00:00;0.14;G;0;G
2021-01-03;08:00:00;1.70;G;0;G
2021-01-03;09:00:00;24.88;G;352;G
2021-01-03;10:00:00;49.43;G;0;G
2021-01-03;11:00:00;63.24;G;175;G
2021-01-03;12:00:00;93.60;G;1689;G
2021-01-03;13:00:00;113.10;G;2298;G
2021-01-03;14:00:00;61.04;G;2157;G
2021-01-03;15:00:00;13.72;G;802;G
2021-01-03;16:00:00;0.00;G;0;G
2021-01-03;17:00:00;0.00;G;0;G
2021-01-03;18:00:00;0.00;G;0;G
2021-01-03;19:00:00;0.00;G;0;G
2021-01-03;20:00:00;0.00;G;0;G
2021-01-03;21:00:00;0.00;G;0;G
